 Adjetivo,Frequência,Categoria
maroto,7,Caráter
canalha,7,Caráter
confuso,7,Caráter
top,7,Aparência
traidor,7,Caráter
virgem,7,Sexual
modelo,6,Papel social
grã-fino,6,Aparência
pequenino,6,Aparência
desamor,6,Emoção
louro,6,Aparência
ferido,6,Emoção
delegado,6,Papel social
sorridente,6,Emoção
fã,6,Emoção
dengo,6,Emoção
solto,6,Neutro
desempregado,6,Papel social
preguiçoso,6,Caráter
fera,6,Neutro
pacato,6,Caráter
funkeiro,6,Papel social
goiano,6,Papel social
estudioso,6,Caráter
generoso,6,Caráter
delicado,6,Caráter
fenomenal,6,Caráter
ideal,6,Caráter
perigoso,6,Caráter
aflito,6,Emoção
safado,6,Caráter
insensato,6,Caráter
gordo,6,Aparência
amargo,5,Emoção
gay,5,Sexual
ingrato,5,Caráter
envolvente,5,Caráter
artista,5,Papel social
majestoso,5,Emoção
barbudo,5,Aparência
famoso,5,Emoção
cidadão,5,Papel social
lutador,5,Caráter
pagodeiro,5,Papel social
mensageiro,5,Papel social
tras,5,Sexual
teimoso,5,Caráter
cantor,5,Papel social
exigente,5,Caráter
gentil,5,Caráter
original,5,Caráter
vovô,5,Papel social
vacilão,5,Caráter
protetor,5,Caráter
escravo,5,Papel social
sensacional,5,Emoção
guardado,5,Neutro
corpo,5,Aparência
primo,5,Papel social
destino,5,Caráter
danado,5,Emoção
coitado,5,Emoção
subdesenvolvido,5,Neutro
corajoso,5,Emoção
guloso,5,Caráter
suburbano,5,Papel social
brabo,5,Emoção
fatal,5,Caráter
nordestino,5,Papel social
desprezado,5,Emoção
armado,5,Aparência
palhaço,5,Papel social
matuto,5,Caráter
dominado,5,Emoção
desiludido,5,Emoção
precioso,5,Caráter
prisioneiro,5,Papel social
pescador,5,Papel social
responsável,5,Caráter
atento,5,Caráter
obediente,5,Caráter
belo,5,Aparência
maldito,5,Caráter
otário,5,Caráter
suave,5,Emoção
rebelde,5,Caráter
alérgico,5,Neutro
tolo,5,Emoção
glorioso,5,Emoção
malvado,5,Caráter
latino-americano,5,Papel social
vigário,5,Papel social
doidinho,5,Emoção
prefeito,5,Papel social
latino,4,Papel social
roceiro,4,Papel social
lento,4,Caráter
selvagem,4,Emoção
bondoso,4,Caráter
mendigo,4,Papel social
correto,4,Caráter
maldoso,4,Caráter
réu,4,Papel social
pilantra,4,Caráter
egoísta,4,Caráter
negrinho,4,Aparência
irresistível,4,Emoção
inseguro,4,Emoção
incapaz,4,Caráter
atraente,4,Aparência
gatinho,4,Aparência
escrito,4,Emoção
indefeso,4,Caráter
sossegado,4,Caráter
atrasado,4,Emoção
invisível,4,Neutro
tio,4,Papel social
roubado,4,Emoção
freguês,4,Papel social
drogado,4,Neutro
imundo,4,Aparência
ricos,4,Papel social
cangaceiro,4,Papel social
pesadão,4,Aparência
terrível,4,Caráter
maneiro,4,Emoção
conde,4,Papel social
pretinho,4,Aparência
lembrado,4,Emoção
vadio,4,Caráter
baiano,4,Papel social
descrente,4,Emoção
sinistro,4,Caráter
gato,4,Aparência
compadre,4,Papel social
barrigudo,4,Aparência
profeta,4,Papel social
extraordinário,4,Emoção
baixo,4,Aparência
japonês,4,Papel social
machão,4,Emoção
ocupado,4,Caráter
namorador,4,Caráter
falado,4,Neutro
magro,4,Aparência
indecente,4,Caráter
cowboy,4,Papel social
imperador,4,Papel social
batizado,4,Papel social
burguês,4,Emoção
competente,4,Caráter
públicos,4,Papel social
macaco,4,Neutro
induzido,4,Caráter
humildade,4,Caráter
mandado,4,Caráter
seguro,4,Caráter
indeciso,4,Emoção
sedento,4,Emoção
orgulhoso,4,Caráter
frágil,4,Aparência
surdo,4,Neutro
revoltado,4,Emoção
bebê,4,Papel social
indiferente,4,Emoção
irritado,4,Emoção
desesperado,4,Emoção
gauchinho,4,Papel social
zen,4,Emoção
careta,4,Caráter
moral,4,Caráter
cumpade,4,Papel social
antigo,4,Emoção
chorão,4,Emoção
imperfeito,4,Aparência
obrigado,4,Emoção
afoito,4,Emoção
invencível,3,Caráter
misericordioso,3,Emoção
esquisito,3,Emoção
cabeludo,3,Aparência
jornalista,3,Papel social
torto,3,Aparência
ereto,3,Aparência
cínico,3,Caráter
charminho,3,Emoção
peão,3,Papel social
primitivo,3,Neutro
vigia,3,Papel social
faminto,3,Emoção
envergonhado,3,Emoção
sedutor,3,Caráter
fanfarrão,3,Caráter
eleito,3,Papel social
bruto,3,Caráter
incomparável,3,Caráter
tímido,3,Emoção
brincalhão,3,Caráter
complexo,3,Caráter
descontrolados,3,Caráter
menor,3,Neutro
liso,3,Neutro
cafajeste,3,Caráter
curado,3,Emoção
desordeiro,3,Emoção
xucro,3,Caráter
dengoso,3,Emoção
chave,3,Aparência
partideiro,3,Papel social
inspirado,3,Emoção
hospitaleiro,3,Caráter
protegido,3,Neutro
feioso,3,Aparência
amarelo,3,Neutro
carioca,3,Papel social
tutor,3,Papel social
cobrado,3,Neutro
hepático,3,Neutro
descartável,3,Neutro
podre,3,Neutro
dependente,3,Caráter
bacana,3,Caráter
travesso,3,Caráter
anjo,3,Neutro
durão,3,Caráter
romântico,3,Emoção
crente,3,Papel social
popular,3,Papel social
ferrado,3,Emoção
sentimento,3,Emoção
serio,3,Caráter
carpinteiro,3,Papel social
pleno,3,Emoção
soberbo,3,Caráter
racional,3,Caráter
magrelo,3,Aparência
artesão,3,Papel social
tenso,3,Emoção
embaçado,3,Emoção
governador,3,Papel social
educado,3,Caráter
corintiano,3,Papel social
prodígio,3,Caráter
prostituto,3,Sexual
boiadeiro,3,Papel social
firmeza,3,Caráter
acabado,3,Aparência
espaçoso,3,Neutro
esquecido,3,Emoção
independente,3,Caráter
pássaro,3,Papel social
castigado,3,Emoção
sádico,3,Caráter
cheiroso,3,Emoção
cordial,3,Caráter
assustado,3,Emoção
suspeito,3,Caráter
iludido,3,Emoção
irreal,3,Emoção
superman,3,Neutro
elegante,3,Aparência
calmo,3,Emoção
alienígena,3,Neutro
mulherengo,3,Caráter
mozão,3,Emoção
aventureiro,3,Caráter
julgado,3,Emoção
irresponsável,3,Caráter
tirano,3,Caráter
abandonado,3,Emoção
experiente,3,Caráter
levado,3,Caráter
maconheiro,3,Papel social
pivete,3,Papel social
violeiro,3,Papel social
majestade,3,Papel social
mineiro,3,Papel social
pernambucano,3,Papel social
franzino,3,Aparência
meritíssimo,3,Papel social
introvertido,3,Emoção
careca,3,Aparência
descalço,3,Aparência
camarada,3,Caráter
raro,3,Emoção
tranquilo,3,Caráter
gordinho,3,Aparência
garanhão,3,Aparência
fadado,3,Emoção
perdoado,3,Emoção
agressivo,3,Emoção
sertanejo,2,Papel social
magoado,2,Emoção
ministro,2,Papel social
registrado,2,Neutro
vesgo,2,Aparência
venenoso,2,Caráter
bandoleiro,2,Caráter
ingênuo,2,Caráter
pistoleiro,2,Papel social
sapateiro,2,Papel social
abençoado,2,Emoção
guri,2,Papel social
culto,2,Caráter
surpreendente,2,Caráter
sutil,2,Emoção
ator,2,Papel social
maquiavélico,2,Caráter
incomodado,2,Emoção
chifrudo,2,Emoção
divertido,2,Caráter
medroso,2,Caráter
candidato,2,Papel social
manjado,2,Emoção
temperamental,2,Caráter
safadinho,2,Sexual
blindado,2,Emoção
apressado,2,Emoção
marinheiro,2,Papel social
bonitão,2,Aparência
mimado,2,Emoção
deprimido,2,Emoção
tagarela,2,Caráter
solidário,2,Caráter
amoroso,2,Emoção
vaidoso,2,Aparência
marginal,2,Papel social
hipócrita,2,Caráter
aprovado,2,Neutro
baladeiro,2,Caráter
útil,2,Caráter
bêbado,2,Neutro
fantástico,2,Emoção
cortês,2,Caráter
goleiro,2,Papel social
sagaz,2,Caráter
bastardo,2,Papel social
vil,2,Aparência
porreta,2,Caráter
republicano,2,Papel social
