Adjetivo,Frequência,Categoria
majestoso,5,
barbudo,5,
famoso,5,
impulso,5,
cidadão,5,
joãozinho,5,
olhos,5,
lutador,5,
desvirginava,5,
raió,5,
ariá,5,
onda,5,
pagodeiro,5,
mensageiro,5,
tras,5,
bum,5,
teimoso,5,
imbalança,5,
mocinhas,5,
cantor,5,
exigente,5,
gentil,5,
original,5,
liberto,5,
normais,5,
vovô,5,
vacilão,5,
motivo,5,
forró,5,
sozinha,5,
protetor,5,
lencinho,5,
escravo,5,
sensacional,5,
guardado,5,
vezes,5,
corpo,5,
limpa,5,
primo,5,
destino,5,
danado,5,
coitado,5,
espiritual,5,
castigo,5,
mago,5,
subdesenvolvido,5,
nus,5,
corajoso,5,
guloso,5,
cachaça,5,
suburbano,5,
brabo,5,
pedra,5,
aperto,5,
fatal,5,
nordestino,5,
faixa,5,
desprezado,5,
armado,5,
palhaço,5,
violão,5,
ouvirias,5,
matuto,5,
dominado,5,
objeto,5,
macunaíma,5,
úteis,5,
posto,5,
desiludido,5,
precioso,5,
regato,5,
testemunha,5,
tom,5,
espelho,5,
prisioneiro,5,
pescador,5,
lelelelele,5,
tum,5,
tranqüilo,5,
mesmo,5,
responsável,5,
longo,5,
atento,5,
obediente,5,
belo,5,
maldito,5,
otário,5,
suave,5,
rebelde,5,
melhores,5,
espírito,5,
alérgico,5,
tolo,5,
fruto,5,
moça,5,
glória,5,
fim,5,
glorioso,5,
malvado,5,
sujeito,5,
latino-americano,5,
vigário,5,
doidinho,5,
feitiço,5,
gelo,5,
prefeito,5,
pais,5,
saudades,5,
ogum,5,
latino,4,
roceiro,4,
adão,4,
estilo,4,
lento,4,
estrela,4,
sagrado,4,
selvagem,4,
bondoso,4,
mendigo,4,
correto,4,
camarote,4,
maldoso,4,
ponto,4,
réu,4,
brincadeira,4,
pilantra,4,
egoísta,4,
negrinho,4,
crianças,4,
ódio,4,
piedade,4,
irresistível,4,
arma,4,
inseguro,4,
frito,4,
luar,4,
incapaz,4,
atraente,4,
gatinho,4,
carnaval,4,
carro,4,
morcego,4,
bamba,4,
língua,4,
escrito,4,
má,4,
indefeso,4,
carreiro,4,
sossegado,4,
